Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,2,18,None,None,
ground,Jab2,2,21,None,None,
ground,RapidJab,,-,None,None,
ground,RapidJabFinisher,,39,None,None,
ground,DashAttack,4-7,32,None,None,
ground,DashAttack(Late),8-15,-,None,None,
ground,Ftilt(AngledUp),6-8,24,None,None,
ground,Ftilt,6-8,-,None,None,
ground,Ftilt(AngledDown),6-8,-,None,None,
ground,Utilt,3-5,28,None,None,
ground,Utilt(Late),6-7,-,None,None,
ground,Dtilt,7-8,28,None,None,
ground,Fsmash,13-14,46,None,None,
ground,Fsmash(Late),15-16,-,None,None,
ground,Usmash,8-9,56,None,None,
ground,Usmash(Late),10-11,-,None,None,
ground,Dsmash,6-7(LegsIntangible:6-7),53,None,None,
ground,StandingGrab,6-8,38,None,None,
ground,DashGrab,10-11,46,None,None,
ground,PivotGrab,11-13,41,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,4-6,42,7,1-3/,
aerial,Nair(Late),7-23,-,-,-,
aerial,Fair(Hit1),7-8,44,18,,
aerial,Fair(Hit2),11-12,-,-,-,
aerial,Fair(Hit3),16-17,-,-,-,
aerial,Fair(Hit4),21-22,-,-,-,
aerial,Fair(Hit5),26-27,-,-,-,
aerial,Fair(Landing),1,-,-,-,
aerial,Bair,9-11,49,9,,
aerial,Uair(Hit1),9-10,36,13,,
aerial,Uair(Hit2),12-13,-,-,-,
aerial,Dair(Hits1-6),5-6/8-9/11-12/14-15/17-18/20-21,50,17,1-4/29>,
aerial,Dair(Hit7),23,-,-,-,
aerial,Dair(Landing),1-2,-,-,-,
special,Blaster(Early/Grounded),11-12,37,None,None,
special,Blaster(Grounded),13-19,-,None,None,
special,Blaster(Late/Grounded),20-32,-,None,None,
special,Blaster(Early/Aerial),9-10,35,None,None,
special,Blaster(Aerial),11-17,-,None,None,
special,Blaster(Late/Aerial),18-30,-,None,None,
special,FoxIllusion(Grounded),25-29,56,None,None,
special,FoxIllusion(Aerial),25-29,73,None,None,
special,FireFox(Hits1-7),20/22/24/26/28/30/32,-,None,None,
special,FireFox(Hit8),43-46,-,None,None,
special,FireFox(Hit8/Late),47-72,-,None,None,
special,Reflector,3(1.4×/Reflects:4-23/50%BreakThreshold/Intangible:2-3),37,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
