Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,4-5,24,None,None,
ground,Jab2,3-4,28,None,None,
ground,Jab3,5-8,41,None,None,
ground,DashAttack,15-16,48,None,None,
ground,DashAttack(Late),17-19,-,None,None,
ground,Ftilt(AllAngles),12-13,42,None,None,
ground,Utilt,11-16,40,None,None,
ground,Utilt(Late),17-21,-,None,None,
ground,Dtilt,7-8,29,None,None,
ground,Fsmash,31-32,84,None,None,
ground,Fsmash(Late),33-35,-,None,None,
ground,Usmash,25-29,71,None,None,
ground,Usmash(Late),30-31,-,None,None,
ground,Dsmash(Hit1),13-15,71,None,None,
ground,Dsmash(Hit2),32-33,-,None,None,
ground,Dsmash(Hit2/Late),34-36,-,None,None,
ground,StandingGrab,7-8,37,None,None,
ground,DashGrab,10-11,45,None,None,
ground,PivotGrab,11-12,40,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,10-14,60,8,,
aerial,Nair(Late),15-22,-,-,-,
aerial,Fair,11-15,60,14,,
aerial,Bair,7-9,55,11,,
aerial,Uair,13-18,57,9,,
aerial,Dair,16-17,55,14,,
special,Eruption(Uncharged),,,None,None,
special,Eruption(FullCharge),240-244(SuperArmor:235-239),289,None,None,
special,Eruption(FullCharge/Pillar1),MinRequiredCharge:120/244-247,-,None,None,
special,Eruption(FullCharge/Pillar2),MinRequiredCharge:210/248-251,-,None,None,
special,Quickdraw,,,None,None,
special,Aether,,,None,None,
special,Counter,Counters:9-33(Intangible:8-15/HeadIntangible:16-33),74,None,None,
special,Counter(Attack),4-5(Intangible:1-4),44,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
