Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,7-8,28,None,None,
ground,Jab2,5-6,28,None,None,
ground,RapidJab,-,-,None,None,
ground,RapidJabFinisher,4-5,40,None,None,
ground,DashAttack,4-11,44,None,None,
ground,DashAttack(Late),12-19,-,None,None,
ground,Ftilt(Hits1-6),10/12/14/16/18/20,46,None,None,
ground,Ftilt(Hit7),22,-,None,None,
ground,Utilt,7-13,33,None,None,
ground,Dtilt,4-6,31,None,None,
ground,Fsmash(AngledUp),15-18,60,None,None,
ground,Fsmash(AngledUp/Late),19-20,-,None,None,
ground,Fsmash,15-18,60,None,None,
ground,Fsmash(Late),19-20,-,None,None,
ground,Fsmash(AngledDown),15-18,60,None,None,
ground,Fsmash(AngledDown/Late),19-20,-,None,None,
ground,Usmash,26-29,60,None,None,
ground,Dsmash,13-14,46,None,None,
ground,StandingGrab,13-14,43,None,None,
ground,DashGrab,13-14,49,None,None,
ground,PivotGrab,13-14,45,None,None,
ground,Spotdodge,3-17,27,None,None,
ground,ForwardRoll,4-15,31,None,None,
ground,BackRoll,5-16,36,None,None,
ground,Airdodge,3-29,57,None,None,
ground,DirectionalAirdodge(F/B),3-21,94,None,None,
ground,DirectionalAirdodge(U),3-21,125,None,None,
ground,DirectionalAirdodge(D),3-21,77,None,None,
aerial,Nair,7-26,42,16,1-3/41>,
aerial,Nair(FinalHit),28-29,-,-,-,
aerial,Fair,14-18,49,13,1-2/39>,
aerial,Bair(Hit1),7-9,44,7,1-6/43>,
aerial,Bair(Hit2),13-15,-,-,-,
aerial,Uair,12-13,52,11,41>,
aerial,Dair,11-12,64,13,1-2/52>,
special,BulletSeed(Hit1/Grounded),7-8,80,None,None,
special,BulletSeed(Hit2/Grounded),13-35,-,None,None,
special,BulletSeed(Hit1/Aerial),7-8,-,None,None,
special,BulletSeed(Hit2/Aerial),13-35,-,None,None,
special,BulletSeed(Hit3-10),13-15/19-21/25-27/31-33,-,None,None,
special,BulletSeed(Hit3-10/Late),16-20/22-26/28-32/35-39,-,None,None,
special,BulletSeed(Hit11),39-43,-,None,None,
special,RazorLeaf(Early),22-33,47,None,None,
special,RazorLeaf,34-52,-,None,None,
special,RazorLeaf(Late),53-71,-,None,None,
special,VineWhip(Grounded),15-17,48,None,None,
special,VineWhip(Aerial),15-17,48,None,None,
special,PokémonChange,Intangible:1-25,40,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
