Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,4-5,24,None,None,
ground,Jab1(Arsene),4-5,-,None,None,
ground,Jab2,3-4,24,None,None,
ground,Jab2(Arsene),3-4,-,None,None,
ground,Jab3,3-4,35,None,None,
ground,Jab3(Arsene),3-4,-,None,None,
ground,DashAttack(Hit1),6-7,46,None,None,
ground,DashAttack(Hit2),15-21,-,None,None,
ground,DashAttack(Awakened/Hit2),15-21,-,None,None,
ground,DashAttack(Arsene/Hit2),15-21,-,None,None,
ground,Ftilt(Hit1/AllAngles),8-9,35,None,None,
ground,Ftilt(Hit2/AllAngles),13-15,-,None,None,
ground,Ftilt(Awakened/Hit2/AllAngles),13-19,-,None,None,
ground,Ftilt(Arsene/Hit2/AllAngles),13-19,-,None,None,
ground,Utilt(Hit1),8,41,None,None,
ground,Utilt(Hit1/Late),9,-,None,None,
ground,Utilt,10-19,-,None,None,
ground,Utilt(Arsene),11-19,-,None,None,
ground,Utilt(FinalHit),20-23,-,None,None,
ground,Utilt(Arsene/FinalHit),20-23,-,None,None,
ground,Dtilt(Early),8-9,38,None,None,
ground,Dtilt,10-11,-,None,None,
ground,Dtilt(Late),12-14,-,None,None,
ground,Dtilt(Awakened/Early),8-9,-,None,None,
ground,Dtilt(Awakened),10-11,-,None,None,
ground,Dtilt(Awakened/Late),12-14,-,None,None,
ground,Dtilt(Arsene/Early),8-9,-,None,None,
ground,Dtilt(Arsene),10-11,-,None,None,
ground,Dtilt(Arsene/Late),12-14,-,None,None,
ground,Fsmash,16-18,48,None,None,
ground,Fsmash(Awakened),16-19,-,None,None,
ground,Fsmash(Arsene),16-19,-,None,None,
ground,Usmash,10-14,52,None,None,
ground,Usmash(Awakened),10-14,52,None,None,
ground,Usmash(Arsene),10-14,-,None,None,
ground,Dsmash(Hit1),12-13,46,None,None,
ground,Dsmash(Hit1/Awakened),12-13,-,None,None,
ground,Dsmash(Arsene/Hit1),12-13,-,None,None,
ground,Dsmash(Hit2),16-17,-,None,None,
ground,Dsmash(Arsene/Hit2),16-17,-,None,None,
ground,StandingGrab,6-7,35,None,None,
ground,DashGrab,8-9,43,None,None,
ground,PivotGrab,9-10,38,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,12-27,55,8,1-4/48>,
aerial,Nair(Arsene),12-27,-,-,-,
aerial,Fair(Hit1),7-8,48,12,1-3/42>,
aerial,Fair(Hit2),12-14,-,-,-,
aerial,Fair(Awakened/Hit2),12-14,-,-,-,
aerial,Fair(Arsene/Hit2),12-14,-,-,-,
aerial,Bair,7-8,32,9,1-3/30>,
aerial,Bair(Awakened),7-8,-,-,-,
aerial,Bair(Arsene),7-8,-,-,-,
aerial,Uair,5-18,40,14,1-4/40>,
aerial,Uair(FinalHit),20-21,-,-,-,
aerial,Uair(Arsene),20-21,-,-,-,
aerial,Dair,13-16,47,11,1-3/40>,
aerial,Dair(Awakened),13-14,-,-,-,
aerial,Dair(Awakened/Late),15-16,-,-,-,
aerial,Dair(Arsene),15-16,-,-,-,
special,Gun(Grounded),12,37,None,None,
special,Gun(Grounded/Forward),20,40+,None,None,
special,Gun(Grounded/Backward),22,46+,None,None,
special,Gun(Grounded/Jump/Hit1-2),10/17,60,None,None,
special,Gun(Grounded/Jump/Hit3),24,-,None,None,
special,Gun(Grounded/Jump/Hit4),31,-,None,None,
special,Gun(Aerial),12,37,None,None,
special,Gun(Aerial/Forward),20,40+,None,None,
special,Gun(Aerial/Backward),22,46+,None,None,
special,Gun(Aerial/Up/Hits1-12),12/15/18/24/27/30/36/39/42/48/51/54,70,None,None,
special,Gun(Aerial/Down),7/21/35/44,49,None,None,
special,GunSpecial1/2/3(Grounded/Hit1),12,42,None,None,
special,GunSpecial1/2/3(Grounded/Hits2-3),18/24,-,None,None,
special,GunSpecial(Grounded/Forward/Hit1),21,46+,None,None,
special,GunSpecial(Grounded/Forward/Hits2-3),27/33,-,None,None,
special,GunSpecial(Grounded/Backward/Hit1),23,50+,None,None,
special,GunSpecial(Grounded/Backward/Hit2),29,-,None,None,
special,GunSpecial(Grounded/Backward/Hit3),35,-,None,None,
special,GunSpecial(Grounded/Jump/Hit1),10,60,None,None,
special,GunSpecial(Grounded/Jump/Hit2),13,-,None,None,
special,GunSpecial(Grounded/Jump/Hit3),17,-,None,None,
special,GunSpecial(Grounded/Jump/Hit4),20,-,None,None,
special,GunSpecial(Grounded/Jump/Hit5),24,-,None,None,
special,GunSpecial(Grounded/Jump/Hit6),27,-,None,None,
special,GunSpecial(Grounded/Jump/Hit7),31,-,None,None,
special,GunSpecial1(Aerial/Hit1),13,38,None,None,
special,GunSpecial1(Aerial/Hits2-3),19/25,-,None,None,
special,GunSpecial2(Aerial/Hit1),13,38,None,None,
special,GunSpecial2(Aerial/Hits2-3),19/25,-,None,None,
special,GunSpecial3(Aerial/Hit1),13,38,None,None,
special,GunSpecial3(Aerial/Hits2-3),19/25,-,None,None,
special,GunSpecial(Aerial/Forward/Hit1),21,41+,None,None,
special,GunSpecial(Aerial/Forward/Hits2-3),27/33,-,None,None,
special,GunSpecial(Aerial/Backward/Hit1),23,47+,None,None,
special,GunSpecial(Aerial/Backward/Hits2-3),29/35,-,None,None,
