Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,LightJab1,3-4,17,None,None,
ground,MediumJab1,7,38,None,None,
ground,MediumJab1(Late),8-11,-,None,None,
ground,InazumaKick(Held/Far/Hit1),9-12,33,None,None,
ground,InazumaKick(Held/Far/Hit2),16,-,None,None,
ground,Jab2,3-4,28,None,None,
ground,Jab3,8-10,36,None,None,
ground,DashAttack,7-9,41,None,None,
ground,DashAttack(Late),10-15,-,None,None,
ground,LightFtilt,9-12,25,None,None,
ground,MediumFtilt,10-13,35,None,None,
ground,CloseFtilt,4-5,31,None,None,
ground,LightUtilt,4-7,16,None,None,
ground,MediumUtilt,7,38,None,None,
ground,MediumUtilt(Late),8-11,-,None,None,
ground,LightDtilt,3-4,16,None,None,
ground,MediumDtilt,6-7,28,None,None,
ground,Fsmash,13-15,46,None,None,
ground,Usmash,9,45,None,None,
ground,Usmash(Late),10-12,-,None,None,
ground,Dsmash,5-6,42,None,None,
ground,StandingGrab,6-7,35,None,None,
ground,DashGrab,9-10,43,None,None,
ground,PivotGrab,10-11,38,None,None,
ground,Spotdodge,3-17,27,None,None,
ground,ForwardRoll,4-15,31,None,None,
ground,BackRoll,5-16,36,None,None,
ground,Airdodge,3-27,50,None,None,
ground,DirectionalAirdodge(F/B),3-21,81,None,None,
ground,DirectionalAirdodge(U),3-21,103,None,None,
ground,DirectionalAirdodge(D),3-21,68,None,None,
aerial,Nair,6-8,28,5,,
aerial,Nair(Late),9-17,-,-,-,
aerial,Fair,8-9,37,11,,
aerial,Fair(Late),10-14,-,-,-,
aerial,Bair,8-9,42,10,,
aerial,Uair,5-9,36,11,,
aerial,Dair,8-12,46,15,,
special,NataOtoshiGeri(Hit1),12,29,None,None,
special,NataOtoshiGeri(Hit2),15-16,-,None,None,
special,OosotoMawashiGeri,9-10,33,None,None,
special,InazumaKickFollowup,8-10,40,None,None,
special,Hadoken(Command/AllVersions),-,-,None,None,
special,LightHadouken,13-75,58,None,None,
special,MediumHadouken,13-67,-,None,None,
special,HeavyHadouken,13-60,-,None,None,
special,TatsumakiSenpukyaku(Early/AllVersions),8-9,-,None,None,
special,LightTatsumakiSenpukyaku(Grounded),13-14/18-19,-,None,None,
special,MediumTatsumakiSenpukyaku(Grounded),13-14/18-19/23-24/28-29/33-34/38-39,,None,None,
special,HeavyTatsumakiSenpukyaku(Grounded),13-14/18-19/23-24/28-29/33-34/38-39,,None,None,
special,TatsumakiSenpukyaku(Aerial),13-14/18-19/23-24/28-29/33-34/38-39,78,None,None,
special,Shoryuken(AllVersions),Intangible:5,-,None,None,
special,Shoryuken(Command/AllVersions),RightArmIntangible:1-3/7-14/Intangible:4-6,-,None,None,
special,LightShoryuken(Grounded),6-8,-,None,None,
special,LightShoryuken(Grounded/Late),9-19,-,None,None,
special,MediumShoryuken(Grounded/Hit1),6-8,-,None,None,
special,MediumShoryuken(Grounded/Hit2),9-19,-,None,None,
special,HeavyShoryuken(Grounded/Hit1),5,-,None,None,
special,HeavyShoryuken(Grounded/Hit2),6-8,-,None,None,
special,HeavyShoryuken(Grounded/Hit3),9-19,-,None,None,
special,LightShoryuken(Aerial),6-8,-,None,None,
special,LightShoryuken(Aerial/Late),9-19,-,None,None,
special,MediumShoryuken(Aerial/Hit1),6-8,-,None,None,
special,MediumShoryuken(Aerial/Hit2),9-19,-,None,None,
special,HeavyShoryuken(Aerial/Hit1),5,-,None,None,
special,HeavyShoryuken(Aerial/Hit2),6-8,-,None,None,
special,HeavyShoryuken(Aerial/Hit3),9-19,-,None,None,
special,FocusAttack,DamageBasedArmor:1-70/14%-28?%/DashCancelablefrom26,-,None,None,
special,FocusAttack(Stage1),33-34,77,None,None,
special,FocusAttack(Stage2),43-44,87,None,None,
special,FocusAttack(Stage3),71-72,115,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
