Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,5-6,26,None,None,
ground,Jab2,4-5,29,None,None,
ground,DashAttack,13-16,50,None,None,
ground,Ftilt,8-11,34,None,None,
ground,Utilt(Early),6,34,None,None,
ground,Utilt,7-8,-,None,None,
ground,Utilt(Late),9-12,-,None,None,
ground,Dtilt,7-8,24,None,None,
ground,Fsmash,10-13,52,None,None,
ground,Usmash(Launcher),13-14,59,None,None,
ground,Usmash,13-17,-,None,None,
ground,Dsmash(Hit1),6-7,56,None,None,
ground,Dsmash(Hit2),21-23,-,None,None,
ground,StandingGrab,6-7,35,None,None,
ground,DashGrab,9-10,43,None,None,
ground,PivotGrab,10-11,38,None,None,
ground,Spotdodge,3-17,26,None,None,
ground,ForwardRoll,4-15,30,None,None,
ground,BackRoll,5-16,35,None,None,
ground,Airdodge,3-29,53,None,None,
ground,DirectionalAirdodge(F/B),3-21,86,None,None,
ground,DirectionalAirdodge(U),3-21,117,None,None,
ground,DirectionalAirdodge(D),3-21,70,None,None,
aerial,Nair(Hit1),6-7,50,7,47>,
aerial,Nair(Hit2),15-21,-,-,-,
aerial,Fair,6-8,38,10,36>,
aerial,Bair,7-11,40,10,1-2/32>,
aerial,Uair,5-9,46,8,1-2/38>,
aerial,Dair(Early),9-10,60,14,1-2/55>,
aerial,Dair,11,-,-,-,
aerial,Dair(Late),12-13,-,-,-,
special,ShieldBreaker(NoCharge),19-20,51,None,None,
special,ShieldBreaker(FullCharge),79-80,111,None,None,
special,DancingBlade,9-11,40,None,None,
special,DancingBlade2(Up),4-6,39,None,None,
special,DancingBlade2,5-7,39,None,None,
special,DancingBlade3(Up),5-7,44,None,None,
special,DancingBlade3,4-6,44,None,None,
special,DancingBlade3(Down),5-7,44,None,None,
special,DancingBlade4(Up),6-10,45,None,None,
special,DancingBlade4,7-9,56,None,None,
special,DancingBlade4(Down/Hits1-4),7/10/13/16,75,None,None,
special,DancingBlade(Down/Hit5),19-21,-,None,None,
special,DolphinSlash(Early),5,-,None,None,
special,DolphinSlash,6,-,None,None,
special,DolphinSlash(Late),7-11,-,None,None,
special,Counter,Counters:6-27/Intangible:5-6,65,None,None,
special,Counter(Attack),4-6,41,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
