Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,RapidJab,4/7/10/13/16/19/22,-,None,None,
ground,RapidJabFinisher,3,31,None,None,
ground,DashAttack,7-11,33,None,None,
ground,Ftilt1,6,26,None,None,
ground,Ftilt2,2,28,None,None,
ground,Ftilt3,2,31,None,None,
ground,Utilt,8-10,35,None,None,
ground,Utilt(Late),11-14,-,None,None,
ground,Dtilt,3,19,None,None,
ground,Fsmash,24,42,None,None,
ground,Usmash(Hit1),8,50,None,None,
ground,Usmash(Hit2),12,-,None,None,
ground,Usmash(Hit3),17,-,None,None,
ground,Dsmash(Hit1),4,38,None,None,
ground,Dsmash(Hit2),9,-,None,None,
ground,StandingGrab,7-8,37,None,None,
ground,DashGrab,11-12,45,None,None,
ground,PivotGrab,12-13,40,None,None,
ground,Spotdodge,3-16,25,None,None,
ground,ForwardRoll,4-14,29,None,None,
ground,BackRoll,4-15,34,None,None,
ground,Airdodge,2-26,48,None,None,
ground,DirectionalAirdodge(F/B),2-19,81,None,None,
ground,DirectionalAirdodge(U),2-19,102,None,None,
ground,DirectionalAirdodge(D),2-19,67,None,None,
aerial,Nair,6-7,44,7,1-5/40>,
aerial,Nair(Late),8-20,-,-,-,
aerial,Fair(Hits1-2),9/12,46,10,44>,
aerial,Fair(Hit3),15,-,-,-,
aerial,Bair(Hits1-2),7-8/13-14,52,11,1-6/40>,
aerial,Bair(Hit3),20-21,-,-,-,
aerial,Uair,6,27,9,1-5/24>,
aerial,Dair,4,28,9,1-3/26>,
special,MachTornado(Windboxes),12-46,,None,None,
special,MachTornado,12-21,-,None,None,
special,MachTornado(Late),22-46,-,None,None,
special,DrillRush,26-69,-,None,None,
special,DrillRush(FinalHit),70,-,None,None,
special,ShuttleLoop(Grounded/Hit1/Early),8,-,None,None,
special,ShuttleLoop(Grounded/Hit1),9-10,-,None,None,
special,ShuttleLoop(Grounded/Hit1/Late),11-12,-,None,None,
special,ShuttleLoop(Grounded/Hit2),22-27,-,None,None,
special,ShuttleLoop(Aerial/Hit1),7,-,None,None,
special,ShuttleLoop(Aerial/Hit1/Late),8-10,-,None,None,
special,ShuttleLoop(Aerial/Hit2),20-26,-,None,None,
special,DimensionalCape,Intangible:12-39,58,None,None,
special,DimensionalCape(Grounded/Forward),34,93,None,None,
special,DimensionalCape(Grounded),34,93,None,None,
special,DimensionalCape(Grounded/Back),34,93,None,None,
special,DimensionalCape(Aerial/Forward),34,93,None,None,
special,DimensionalCape(Aerial),34,93,None,None,
special,DimensionalCape(Aerial/Back),34,93,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
