Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,8-9,25,None,None,
ground,RapidJab,?,-,None,None,
ground,RapidJabFinisher,3-,40,None,None,
ground,DashAttack,6-9(UpperBodyInvincibility:5-6/ArmInvincibility:7-16,38,None,None,
ground,DashAttack(Late),10-17,-,None,None,
ground,Ftilt,14-23,60,None,None,
ground,Ftilt,24-35,60,None,None,
ground,Utilt,8-22(RehitRate:3),56,None,None,
ground,Utilt(FinalHit),24-25,-,None,None,
ground,Dtilt,14-27,40,None,None,
ground,Fsmash,18-20,64,None,None,
ground,Fsmash(Windbox),?,-,None,None,
ground,Usmash,18-35,64,None,None,
ground,Dsmash,17-19,69,None,None,
ground,Dsmash(Windbox),?,-,None,None,
ground,StandingGrab,7-8,40,None,None,
ground,DashGrab,10-11,48,None,None,
ground,PivotGrab,11-12,43,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,5-27(RehitRate:4),52,12,,
aerial,Nair(FinalHit),29-30,-,-,-,
aerial,Fair,9-11,45,7,,
aerial,Bair,8-10(UpperBodyInvincibility:7-?),50,10,,
aerial,Uair,10-22(RehitRate:3),52,14,,
aerial,Uair(FinalHit),24-25,-,-,-,
aerial,Dair,10-11,59,11,,
special,Autoreticle(Target),8,68,None,None,
special,Autoreticle(Projectiles),25-/31-/37-,,None,None,
special,ExplosiveFlame,28-55(RehitRate:5),72,None,None,
special,ExplosiveFlame(FinalHit),57,-,None,None,
special,Warp,Intangible:16-32,,None,None,
special,Counter/ReflectBarrier,Counters/Reflects:7-34(Invincible:6-12),71,None,None,
special,Counter/ReflectBarrier(Attack),4-6(Invincible:1-5),37,None,None,
special,Counter/ReflectBarrier(Reflect),1-?(1.4×/50%BreakThreshold),35,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
