Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,2-3,20,None,None,
ground,Jab2,2-3,21,None,None,
ground,Jab3,7-8,26,None,None,
ground,RapidJab,-,-,None,None,
ground,RapidJabFinisher,6-7,40,None,None,
ground,DashAttack,7-9,48,None,None,
ground,DashAttack(Late),10-14,-,None,None,
ground,Ftilt1,7-8,28,None,None,
ground,Ftilt2,5-6,32,None,None,
ground,Utilt,8-15,32,None,None,
ground,Dtilt,9-10,29,None,None,
ground,Fsmash,16-17,52,None,None,
ground,Usmash(Hit1),12-15,52,None,None,
ground,Usmash(Hit2),16-18,-,None,None,
ground,Dsmash(Hit1),12-13,46,None,None,
ground,Dsmash(Hit2),16-17,-,None,None,
ground,FootstoolAttack,5-6,12,None,None,
ground,StandingGrab,6-7,35,None,None,
ground,DashGrab,9-10,43,None,None,
ground,PivotGrab,9-10,37,None,None,
ground,Spotdodge,3-17,26,None,None,
ground,ForwardRoll,4-15,30,None,None,
ground,BackRoll,5-16,35,None,None,
ground,Airdodge,3-30,43,None,None,
ground,DirectionalAirdodge(F/B),3-21,70,None,None,
ground,DirectionalAirdodge(U),3-21,88,None,None,
ground,DirectionalAirdodge(D),3-21,59,None,None,
aerial,Nair,8-17,48,15,,
aerial,Nair(FinalHit),18-19,-,-,-,
aerial,Fair,10-12,48,13,,
aerial,Bair,14-15,62,16,,
aerial,Uair,7-9,39,10,,
aerial,Dair,9-10,45,18,,
aerial,Dair(Late),11-14,-,-,-,
special,Ptooie,9-,-,None,None,
special,Ptooie,-,-,None,None,
special,Ptooie(Throw),-,42,None,None,
special,Ptooie(Swallow),-,21,None,None,
special,Ptooie(Failure),-,71,None,None,
special,PoisonBreath(Uncharged),23-119,49,None,None,
special,PoisonBreath(Charged),23-156,-,None,None,
special,Piranhacopter,13-14,-,None,None,
special,Piranhacopter,15,-,None,None,
special,Piranhacopter,16-55,-,None,None,
special,Piranhacopter,56-67,-,None,None,
special,Long-StemStrike(Charging),DamageBasedArmor(15%):18-86,,None,None,
special,Long-StemStrike,InertDetector:19-24,65,None,None,
special,Long-StemStrike,1-2,41,None,None,
special,Long-StemStrike(FullCharge),InertDetector:78-84,-,None,None,
special,Long-StemStrike(FullCharge),85-86,126,None,None,
special,Long-StemStrike(FullCharge/Sideways),85-86,136,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
