Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,5-7,23,None,None,
ground,DashAttack,13-16,46,None,None,
ground,Ftilt,8-10,34,None,None,
ground,Utilt(Early),6,39,None,None,
ground,Utilt,7-8,-,None,None,
ground,Utilt(Late),9-11,-,None,None,
ground,Dtilt,7-8,22,None,None,
ground,Fsmash,13-14,54,None,None,
ground,Usmash(Hit1),12(ArmIntangible:10-23),59,None,None,
ground,Usmash(Hit1/Late),13,-,None,None,
ground,Usmash(Hits2-4),15/17/19,-,None,None,
ground,Usmash(Hit5),22-23,-,None,None,
ground,Dsmash(Hit1),6-7,63,None,None,
ground,Dsmash(Hit2),21-22,-,None,None,
ground,StandingGrab,7-8,37,None,None,
ground,DashGrab,8-9,45,None,None,
ground,PivotGrab,9-10,40,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair(Hit1),6-7,46,9,,
aerial,Nair(Hit2),15-21,-,-,-,
aerial,Fair,10-12,30,8,,
aerial,Bair,8-10,36,10,,
aerial,Uair,5-12,42,8,,
aerial,Dair,16-17,52,14,,
special,FlareBlade(Uncharged),21-24,45,None,None,
special,FlareBlade(Charged),,,None,None,
special,Double-EdgeDance,9-11,40,None,None,
special,Double-EdgeDance2(Up),4-6,39,None,None,
special,Double-EdgeDance2,5-7,39,None,None,
special,Double-EdgeDance3(Up),5-,44,None,None,
special,Double-EdgeDance3(Up/Late),-7,-,None,None,
special,Double-EdgeDance3,4-6,44,None,None,
special,Double-EdgeDance3(Down),5-7,44,None,None,
special,Double-EdgeDance4(Up),6-10,45,None,None,
special,Double-EdgeDance4,7-9,59,None,None,
special,Double-EdgeDance4(Down/Hits1-4),7/10/13/16,72,None,None,
special,Double-EdgeDance4(Down/Hit5),19-21,-,None,None,
special,Blazer(Hit1),9(Intangible:9/SuperArmor:4-10),-,None,None,
special,Blazer,11-19(Rehitrate:3),-,None,None,
special,Blazer(FinalHit),20-21,-,None,None,
special,Blazer(Hit1/Aerial),9(Intangible:9),-,None,None,
special,Blazer(Aerial),11-19(Rehitrate:3),-,None,None,
special,Blazer(FinalHit/Aerial),20-21,-,None,None,
special,Counter,Counters:8-29(Intangible:7-9),68,None,None,
special,Counter(Attack),4-5(Intangible:1-5),41,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
