Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,LightJab1,3-4,17,None,None,
ground,MediumJab1,7,38,None,None,
ground,MediumJab1(Late),8-11,-,None,None,
ground,Jab1(Held/Far),9-10,33,None,None,
ground,Jab2,3-4,28,None,None,
ground,Jab3,8-10,36,None,None,
ground,DashAttack,7-9,41,None,None,
ground,DashAttack(Late),10-15,-,None,None,
ground,LightFtilt,9-12,25,None,None,
ground,MediumFtilt(Hit1),16,38,None,None,
ground,MediumFtilt(Hit2),18-19,-,None,None,
ground,CloseFtilt,4-5,31,None,None,
ground,LightUtilt,4-7,16,None,None,
ground,MediumUtilt,7,38,None,None,
ground,MediumUtilt(Late),8-11,-,None,None,
ground,LightDtilt,3-4,16,None,None,
ground,MediumDtilt,6-7,28,None,None,
ground,Fsmash,15-17,46,None,None,
ground,Usmash,9,45,None,None,
ground,Usmash(Late),10-12,-,None,None,
ground,Dsmash,5-6,42,None,None,
ground,StandingGrab,6-7,35,None,None,
ground,DashGrab,9-10,43,None,None,
ground,PivotGrab,10-11,38,None,None,
ground,Spotdodge,3-17,27,None,None,
ground,ForwardRoll,4-15,31,None,None,
ground,BackRoll,5-16,36,None,None,
ground,Airdodge,3-27,50,None,None,
ground,DirectionalAirdodge(F/B),3-21,81,None,None,
ground,DirectionalAirdodge(U),3-21,103,None,None,
ground,DirectionalAirdodge(D),3-21,68,None,None,
aerial,Nair,4-6,36,5,,
aerial,Nair(Late),7-31,-,-,-,
aerial,Fair,8-9,37,11,,
aerial,Fair(Late),10-14,-,-,-,
aerial,Bair,8-9,42,10,,
aerial,Uair(Hit1),6,36,11,,
aerial,Uair(Hit2),10,-,-,-,
aerial,Dair,8-12,46,15,,
special,Hadoken(Command/AllVersions),-,58,None,None,
special,LightHadouken,13-19,-,None,None,
special,LightHadouken(Late),20-75,58,None,None,
special,MediumHadouken,13-18,-,None,None,
special,MediumHadouken(Late),19-67,-,None,None,
special,HeavyHadouken,13-17,-,None,None,
special,HeavyHadouken(Late),18-60,-,None,None,
special,LightShakunetsuHadouken,13-68(Rehitrate:1),-,None,None,
special,MediumShakunetsuHadouken,13-61(Rehitrate:1),-,None,None,
special,HeavyShakunetsuHadouken,13-55(Rehitrate:1),-,None,None,
special,ShakunetsuHadouken(FinalHit),-,-,None,None,
special,TatsumakiSenpukyaku(Command/AllVersions),-,-,None,None,
special,TatsumakiSenpukyaku(Grounded/Early),8-9,-,None,None,
special,LightTatsumakiSenpukyaku(Grounded),13-15,59,None,None,
special,LightTatsumakiSenpukyaku(Grounded),21-23,-,None,None,
special,MediumTatsumakiSenpukyaku(Grounded),13-15/29-31/45-47,91,None,None,
special,MediumTatsumakiSenpukyaku(Grounded),21-23/37-39/53-55,-,None,None,
special,HeavyTatsumakiSenpukyaku(Grounded),13-15/29-31/45-47,91,None,None,
special,HeavyTatsumakiSenpukyaku(Grounded),21-23/37-39/53-55,-,None,None,
special,LightTatsumakiSenpukyaku(Aerial),13-15/29-31,80,None,None,
special,LightTatsumakiSenpukyaku(Aerial),21-23/37-39,-,None,None,
special,MediumTatsumakiSenpukyaku(Aerial),13-15/29-31,80,None,None,
special,MediumTatsumakiSenpukyaku(Aerial),21-23/37-39,-,None,None,
special,HeavyTatsumakiSenpukyaku(Aerial),13-15/29-31,80,None,None,
special,HeavyTatsumakiSenpukyaku(Aerial),21-23/37-39,-,None,None,
special,Shoryuken(AllVersions),Intangible:5,-,None,None,
special,Shoryuken(Command/AllVersions),RightArmIntangible:1-3/7-14/Intangible:4-6,-,None,None,
special,LightShoryuken(Grounded/Early),6,-,None,None,
special,MediumShoryuken(Grounded/Early),6,-,None,None,
special,HeavyShoryuken(Grounded/Early),6,-,None,None,
special,Shoryuken(Grounded),7-8,-,None,None,
special,Shoryuken(Grounded/Late),9-19,-,None,None,
special,LightShoryuken(Aerial/Early),6,-,None,None,
special,MediumShoryuken(Aerial/Early),6,-,None,None,
special,HeavyShoryuken(Aerial/Early),6,-,None,None,
special,Shoryuken(Aerial),7-8,-,None,None,
special,Shoryuken(Aerial/Late),9-19,-,None,None,
special,FocusAttack,DamageBasedArmor:1-69/14%-28?%/DashCancelablefrom26,-,None,None,
special,FocusAttack(Stage1),32-33,77,None,None,
special,FocusAttack(Stage2),42-43,87,None,None,
special,FocusAttack(Stage3),70-71,115,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
