Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,5,30,None,None,
ground,Jab2,3-4,30,None,None,
ground,RapidJab,,,None,None,
ground,RapidJabFinisher,,,None,None,
ground,Whip,,,None,None,
ground,DashAttack,10-23(RehitRate:3),55,None,None,
ground,DashAttack(FinalHit),25-26,-,None,None,
ground,Ftilt,12-13,31,None,None,
ground,Utilt,10-22,38,None,None,
ground,Dtilt1,7-23,45,None,None,
ground,Dtilt2,8-28,58,None,None,
ground,Fsmash,24-25,63,None,None,
ground,Usmash,18-20,56,None,None,
ground,Dsmash(Hit1),14-15,56,None,None,
ground,Dsmash(Hit2),20-21,-,None,None,
ground,StandingGrab,10-11,38,None,None,
ground,DashGrab,13-14,46,None,None,
ground,PivotGrab,14-15,43,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,8-24(RehitRate:3),43,14,,
aerial,Fair,14,40,10,,
aerial,Bair,14-15,40,10,,
aerial,Uair,14-16,40,10,,
aerial,Dair,13-14,49,26,,
aerial,Dair(Late),15-36,-,-,-,
special,Axe,30-97,67,None,None,
special,Cross,19-64,45,None,None,
special,Cross(Return),65-179,-,None,None,
special,Cross(SmashInput),19-74,45,None,None,
special,Cross(SmashInput/Return),75-184,-,None,None,
special,Uppercut(Hit1),6(Intangible:5-6),LandingLag:26,None,None,
special,Uppercut,9-19(RehitRate:3),-,None,None,
special,Uppercut(FinalHit),20-21,-,None,None,
special,HolyWater(Bottle),18-,46,None,None,
special,HolyWater(Flame),1-,-,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
