Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,2-3,17,None,None,
ground,Jab2,4-5,25,None,None,
ground,Jab3,5-6,32,None,None,
ground,DashAttack,8-11,36,None,None,
ground,DashAttack(Late),12-17,-,None,None,
ground,Ftilt,5-6(TailIntangible:1-8),18,None,None,
ground,Utilt,5-6,20,None,None,
ground,Dtilt,8-13,30,None,None,
ground,Fsmash,20-21,50,None,None,
ground,Usmash(Launcher),19(GroundedOnly),66,None,None,
ground,Usmash(Earliest),21-22,-,None,None,
ground,Usmash(Early),22-23,-,None,None,
ground,Usmash,23-24,-,None,None,
ground,Usmash(Late),24-25,-,None,None,
ground,Usmash(Latest),25,-,None,None,
ground,Dsmash(Hit1),18-19,41,None,None,
ground,Dsmash(Hit2),24-25,-,None,None,
ground,StandingGrab,6-7,35,None,None,
ground,DashGrab,8-9,40,None,None,
ground,PivotGrab,9-10,38,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,4-6,42,8,1-3/35>,
aerial,Nair(Late),7-26,-,-,-,
aerial,Fair,5-6,36,6,1-4/35>,
aerial,Fair(Late),7-14,-,-,-,
aerial,Bair,5-14(RehitRate:2),36,18,1-4/22>,
aerial,Bair(FinalHit),15-16,-,-,-,
aerial,Uair,5-9,30,6,20>,
aerial,Dair,6-20(RehitRate:3),45,16,1-5/35>,
aerial,Dair(FinalHit),22,-,-,-,
special,WaterGun,24-,64,None,None,
special,Withdraw(Shortest/Grounded),22-41,76,None,None,
special,Withdraw(Grounded),22-61,96,None,None,
special,Withdraw(Shortest/Aerial),22-41,81,None,None,
special,Withdraw(Aerial),22-61,101,None,None,
special,Waterfall,9-41(RehitRate:5),-,None,None,
special,Waterfall(FinalHit),43-44,-,None,None,
special,PokémonChange,Intangible:1-25,40,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
