Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,4,22,None,None,
ground,Jab2,4,22,None,None,
ground,Jab3,4,35,None,None,
ground,DashAttack,11-14,38,None,None,
ground,DashAttack(Late),15-18,-,None,None,
ground,Ftilt(Hit1/AllAngles),8,35,None,None,
ground,Ftilt(Hit2/AllAngles),9-10,-,None,None,
ground,Utilt,7-11,36,None,None,
ground,Dtilt,5-6,28,None,None,
ground,Fsmash,20-23,42,None,None,
ground,Usmash(Hit1),13-15,48,None,None,
ground,Usmash(Hit2),20-23,-,None,None,
ground,Dsmash(Hit1),14-15,44,None,None,
ground,Dsmash(Hit2),21-22,-,None,None,
ground,StandingGrab,6-7,37,None,None,
ground,DashGrab,8-9,45,None,None,
ground,PivotGrab,9-10,40,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,7-9,43,9,1-5/38>,
aerial,Nair(Late),10-26,-,-,-,
aerial,Fair,7-9,41,10,29>,
aerial,Bair,13-15,45,15,1-5/18>,
aerial,Uair,7-9,39,10,1-2/30>,
aerial,Dair,16-17,54,19,1-4/34>,
special,Blaster(Bayonet),15-19,50,None,None,
special,Blaster(Shot),16-50,-,None,None,
special,WolfFlash(Travel),19,-,None,None,
special,WolfFlash(Sweetspot),20-21,-,None,None,
special,FireWolf(Hit1),18-,-,None,None,
special,FireWolf,?,-,None,None,
special,FireWolf,?,-,None,None,
special,FireWolf,?,-,None,None,
special,FireWolf,?,-,None,None,
special,Reflector,7-9(Intangible:6-9/Reflects10-/?×50%BreakThreshold),32,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
