Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,7-8(ArmIntangibility:7-8),26,None,None,
ground,Jab2,9-11(ArmIntangibility:9-11),26,None,None,
ground,DashAttack,11-14,56,None,None,
ground,DashAttack,15-20,-,None,None,
ground,Ftilt(AllAngles),10-14(DamageBasedArmor(4%):7-9/ArmIntangible:10-14),38,None,None,
ground,Utilt,11-16(DamageBasedArmor(4%):8-10/ArmIntangible:11-16),41,None,None,
ground,Dtilt(Hit1),10-12(DamageBasedArmor(4%):7-9/ArmIntangible:10-12),46,None,None,
ground,Dtilt(Hit1),15-17(ArmIntangible:10-14),-,None,None,
ground,Fsmash,22-23(DamageBasedArmor(10%):17-21/FeetInvincible:20-25),70,None,None,
ground,Fsmash,24-27,70,None,None,
ground,Usmash,16-23(DamageBasedArmor(8%):11-15/ShellInvincible:14-27),58,None,None,
ground,Usmash(Landing),37(GroundOnly),-,None,None,
ground,Dsmash(Hit1),12-13(DamageBasedArmor(8%):5-11),72,None,None,
ground,Dsmash(Hit2),28-29,-,None,None,
ground,StandingGrab,8-10,41,None,None,
ground,DashGrab,11-13,49,None,None,
ground,PivotGrab,12-14,44,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair(Hit1),8-29,48,15,,
aerial,Nair(Hit2),14-29,-,-,-,
aerial,Nair(Hit3),18-29,-,-,-,
aerial,Nair(Hit4),18-29,-,-,-,
aerial,Fair,11-14,42,14,,
aerial,Bair,9-11,45,24,,
aerial,Uair,9-13(HeadIntangible:3-13),45,17,,
aerial,Dair,17-24(ArmsandLegsIntangible:14-60),78,34,,
aerial,Dair(Late),25-49,-,-,-,
aerial,Dair(Landing),1-6(ArmsandLegsIntangibility:1-27/GroundOnly),-,-,-,
special,FireBreath,slow,78,None,None,
special,FlyingSlam(Grab),6,53,None,None,
special,FlyingSlam(Ascent),(Intangible:1-23),-,None,None,
special,WhirlingFortress(Grounded),6-38,82,None,None,
special,WhirlingFortress(FinalHit/Grounded),39,-,None,None,
special,WhirlingFortress(Hit1/Aerial),6-7,-,None,None,
special,WhirlingFortress(Hits2-6/Aerial),8-11/12-15/16-19/20-23/24-27,-,None,None,
special,WhirlingFortress(Hits7-11/Aerial),28-31/32-35/36-39/40-43/44-47,-,None,None,
special,WhirlingFortress(Hit12/Aerial),48-51,-,None,None,
special,BowserBomb(Hit1/Grounded),11,-,None,None,
special,BowserBomb(Hit2/Grounded),37-,-,None,None,
special,BowserBomb(Aerial),31-,-,None,None,
special,BowserBomb(Landing),1-2,56,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
