Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,5-6,27,None,None,
ground,Jab2,5-6,30,None,None,
ground,Jab3,3,32,None,None,
ground,RapidJab,-,-,None,None,
ground,RapidJabFinisher,4-5,48,None,None,
ground,DashAttack,7-9,39,None,None,
ground,Ftilt,10-14,40,None,None,
ground,Utilt(Hit1),6-8,35,None,None,
ground,Utilt(Hit2),15-16,-,None,None,
ground,Dtilt,6-7,26,None,None,
ground,Fsmash(Hit1),10,55,None,None,
ground,Fsmash(Hit2),21-22,-,None,None,
ground,Usmash(Hit1),6,52,None,None,
ground,Usmash(Hit1/Late),7,-,None,None,
ground,Usmash(Hit2),10,-,None,None,
ground,Usmash(Hit3),18,-,None,None,
ground,Dsmash(Hit1),5-6,41,None,None,
ground,Dsmash(Hit2),18-20,-,None,None,
ground,StandingGrab,6-7,35,None,None,
ground,DashGrab,9-10,43,None,None,
ground,PivotGrab,10-11,38,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair(Hits1-7),4-5/7-8/10-11/13-14/16-17/19-20/22-23,55,14,1-3/30>,
aerial,Nair(Hit8),25,-,-,-,
aerial,Fair(Hits1-2),11-12/14-15,47,12,28>,
aerial,Fair(Hit3),18-19,-,-,-,
aerial,Bair,10-12,41,11,28>,
aerial,Uair(Hits1-4),12-13/15-16/18-19/21-22,50,14,1-4/37>,
aerial,Uair(Hit5),24-25,-,-,-,
aerial,Dair,10,37,12,1-6/36>,
aerial,Dair(Late),11-12,-,-,-,
special,SilverBow,,,None,None,
special,ElectroshockArm(Grounded),InertDetector:16-35,80,None,None,
special,ElectroshockArm(Aerial),InertDetector:19-35,105,None,None,
special,ElectroshockArm(Grounded/Attack),2-4,50,None,None,
special,ElectroshockArm(Aerial/Attack),2-3,58,None,None,
special,PowerofFlight(Grounded),Intangible:9-19,,None,None,
special,PowerofFlight(Aerial),Intangible:15-19,,None,None,
special,GuardianOrbitars,ShieldAppears:7-26/Max100f(1.5×/50%BreakThreshold),50,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
