Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,7-8,27,None,None,
ground,DashAttack,10-12,38,None,None,
ground,DashAttack(Late),13-19,-,None,None,
ground,Ftilt,10-12,40,None,None,
ground,Utilt(Windboxes),6-52,95,None,None,
ground,Utilt,60-61,-,None,None,
ground,Utilt(Late),62-63,-,None,None,
ground,Dtilt,10-12,36,None,None,
ground,Fsmash,29-31,70,None,None,
ground,Usmash,20-25,62,None,None,
ground,Dsmash(Hit1),15-18,60,None,None,
ground,Dsmash(Hit2),35-38,-,None,None,
ground,StandingGrab,8-10,39,None,None,
ground,DashGrab,11-13,47,None,None,
ground,PivotGrab,12-14,42,None,None,
ground,Spotdodge,3-18,29(24),None,None,
ground,ForwardRoll,4-16,33,None,None,
ground,BackRoll,5-17,38,None,None,
ground,Airdodge,4-32,47,None,None,
ground,DirectionalAirdodge(F/B),4-22,79,None,None,
ground,DirectionalAirdodge(U),4-22,102,None,None,
ground,DirectionalAirdodge(D),4-22,66,None,None,
aerial,Nair(Hit1),7-8,41,10,,
aerial,Nair(Hit1/Late),9-12,-,-,-,
aerial,Nair(Hit2),17-18,-,-,-,
aerial,Nair(Hit2/Late),19-26,-,-,-,
aerial,Fair,14-19,45,13,,
aerial,Bair,10-12,36,11,,
aerial,Uair(Early),8-10,34,11,,
aerial,Uair,11-13,-,-,-,
aerial,Uair(Late),14-16,-,-,-,
aerial,Dair,16-18,45,16,,
special,WarlockPunch,70-73,118,None,None,
special,WarlockPunch(Aerial),70-73,118,None,None,
special,WarlockPunch(B-Reversed),80-83,128,None,None,
special,WarlockPunch(B-Reversed/Aerial),80-83,128,None,None,
special,FlameChoke(Grounded),16-30,60,None,None,
special,FlameChoke(Aerial),16-28,-,None,None,
special,FlameChoke(Grounded/Attack),32,58,None,None,
special,FlameChoke(Aerial/Attack),1,38,None,None,
special,DarkDive(CommandGrab),14-28,-,None,None,
special,DarkDive(Attack),34-36,-,None,None,
special,DarkDive(Latch),-,-,None,None,
special,DarkDive(Throw),1,50,None,None,
special,Wizard'sFoot(Grounded),16-35,61,None,None,
special,Wizard'sFoot(Aerial),16-18,58,None,None,
special,Wizard'sFoot(Aerial/Late),19-29,-,None,None,
special,Wizard'sFoot(Landing),2-3,45,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
