Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,5-6,24,None,None,
ground,Jab2,4-5,32,None,None,
ground,Jab3,4-5,38,None,None,
ground,DashAttack,8-11,42,None,None,
ground,DashAttack(Late),12-15,-,None,None,
ground,Ftilt,12-14,37,None,None,
ground,Utilt,6-11(HeadIntangible:6-11),35,None,None,
ground,Dtilt,9-11(LeftLegIntangible:8-11/RightLegIntangible:9-11),30,None,None,
ground,Fsmash,16-18,54,None,None,
ground,Usmash,13-18(ArmsIntangible:13-18),48,None,None,
ground,Dsmash,18-20,58,None,None,
ground,StandingGrab,8-10,39,None,None,
ground,DashGrab,12-14,47,None,None,
ground,PivotGrab,13-15,45,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,5-6,42,11,,
aerial,Nair(Late),7-25,-,-,-,
aerial,Fair,8-10,45,14,,
aerial,Bair,7-10,42,11,,
aerial,Uair,7-11,32,8,,
aerial,Dair,16-19,45,16,,
aerial,Dair(Late),20-21,-,-,-,
special,DarkestLariat(Hit1/Grounded),5-10(Invincible:5-6/HeadandArmsInvincible:7/ArmsInvincible:8-57),85,None,None,
special,DarkestLariat(Hit2/Grounded),15-16,-,None,None,
special,DarkestLariat(Hit3/Grounded),23-30,-,None,None,
special,DarkestLariat(Hit4/Grounded),37-44,-,None,None,
special,DarkestLariat(Hit5/Grounded),50-51,-,None,None,
special,DarkestLariat(Hit6/Grounded),56-57,-,None,None,
special,AlolanWhip,18-34,60,None,None,
special,AlolanWhip(InputWindow),Up'nover!:23-46/Clothesline:47-51/Fail:52+,-,None,None,
special,CrossChop(Hit1/Early),11(SuperArmor:4-15),-,None,None,
special,CrossChop(Hit1),13-15,-,None,None,
special,CrossChop(Hit1/Late),16-24,-,None,None,
special,CrossChop(Hit2/Early),38-,-,None,None,
special,CrossChop(Hit2),,-,None,None,
special,CrossChop(Hit2/Late),,-,None,None,
special,CrossChop(Landing),1-4,62,None,None,
special,Revenge,Counters:3-22,57,None,None,
special,Revenge(Attack),7-(Intangible:1-19),35,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
