Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,3-4,20,None,None,
ground,Jab2,2-3,22,None,None,
ground,Jab3,4-5,30,None,None,
ground,RapidJab,,,None,None,
ground,RapidJabFinisher,,,None,None,
ground,DashAttack,8-9,36,None,None,
ground,DashAttack,10-13,-,None,None,
ground,Ftilt,8-10,35,None,None,
ground,Utilt,7-12,30,None,None,
ground,Dtilt(Hit1),5-8,32,None,None,
ground,Dtilt(Hit2),12-15,-,None,None,
ground,Fsmash,16-17,52,None,None,
ground,Fsmash(OutofInk),16-17,52,None,None,
ground,Usmash(Launcher),9-10,58,None,None,
ground,Usmash(Hit2),18-20,-,None,None,
ground,Usmash(Hit2/OutofInk),18-20,-,None,None,
ground,Dsmash(Hit1),11-12,50,None,None,
ground,Dsmash(Hit1/Late),13-15,-,None,None,
ground,Dsmash(Hit1/OutofInk),11-12,-,None,None,
ground,Dsmash(Hit1/Late/OutofInk),13-15,-,None,None,
ground,Dsmash(Hit2),20-21,-,None,None,
ground,Dsmash(Hit2/Late),22-24,-,None,None,
ground,Dsmash(Hit2/OutofInk),20-21,-,None,None,
ground,Dsmash(Hit2/Late/OutofInk),22-24,-,None,None,
ground,StandingGrab,8-9,35,None,None,
ground,DashGrab,9-10,42,None,None,
ground,PivotGrab,10-11,38,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,6-9,32,5,,
aerial,Fair,10-11,42,12,,
aerial,Fair(Late),12-21,-,-,-,
aerial,Bair,7-11,37,6,,
aerial,Uair(Hit1),12-15,44,6,,
aerial,Uair(Hit2),17-20,-,-,-,
aerial,Dair,16-17,62,12,,
special,Splattershot,12-/16-/20-/24-,37,None,None,
special,SkillandSupremeTalentRoller,16-(Cancellable:31-),-,None,None,
special,SuperJump(Grounded),12,-,None,None,
special,SuperJump(Aerial),15-21,-,None,None,
special,SuperJump(Landing),1-10,41,None,None,
special,SplatBomb(NoCharge/Grounded),20-/99-102,48,None,None,
special,SplatBomb(Charged/Grounded),40-/119-122,66,None,None,
special,SplatBomb(NoCharge/Aerial),20-/99-102,51,None,None,
special,SplatBomb(Charged/Aerial),40-/119-122,69,None,None,
special,SplatBomb(OutofInk/Grounded),-,45,None,None,
special,SplatBomb(OutofInk/Aerial),-,39,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
