Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,4-5,25,None,None,
ground,Jab2,3-4,28,None,None,
ground,Jab3,5-8,34,None,None,
ground,DashAttack,7-11,61,None,None,
ground,DashAttack(Late),12-25,-,None,None,
ground,Ftilt(AllAngles),12-13,43,None,None,
ground,Utilt,5-6,38,None,None,
ground,Utilt(Late),7-13,-,None,None,
ground,Dtilt,13,43,None,None,
ground,Dtilt(Late),14-15,-,None,None,
ground,Fsmash(AngledUp),19-20,62,None,None,
ground,Fsmash,19-20,62,None,None,
ground,Fsmash(AngledDown),19-20,62,None,None,
ground,Usmash(Hit1),6-9,72,None,None,
ground,Usmash(Hit1/Late),10-11,-,None,None,
ground,Usmash(Hit2/Early),19,-,None,None,
ground,Usmash(Hit2),20,-,None,None,
ground,Usmash(Hit2/Late),21-23,-,None,None,
ground,Usmash(Hit3),22-23,-,None,None,
ground,Dsmash,22-24,64,None,None,
ground,Dsmash(Late),25,-,None,None,
ground,SideTaunt,-,50,None,None,
ground,StandingGrab,8-10,41,None,None,
ground,DashGrab,11-13,49,None,None,
ground,PivotGrab,12-14,44,None,None,
ground,Spotdodge,3-18,29,None,None,
ground,ForwardRoll,4-16,33,None,None,
ground,BackRoll,5-17,38,None,None,
ground,Airdodge,4-30,47,None,None,
ground,DirectionalAirdodge(F/B),4-22,79,None,None,
ground,DirectionalAirdodge(U),4-22,103,None,None,
ground,DirectionalAirdodge(D),4-22,65,None,None,
aerial,Nair,7-8,46,13,1-3/40>,
aerial,Nair(Late),9-30,-,-,-,
aerial,Fair(Early),11,58,11,1-2/40>,
aerial,Fair,12-13,-,-,-,
aerial,Fair(Late),14-17,-,-,-,
aerial,Bair,18-20,60,14,1-3/50>,
aerial,Uair,7-8,82,13,1-2/70>,
aerial,Uair(Late),9-16,-,-,-,
aerial,Dair,14-15,62,14,1-3/40>,
aerial,Dair(Late),16-21,-,-,-,
special,Blunderbuss(Cannonball),30-150,70,None,None,
special,Blunderbuss(CannonballBounce),-,-,None,None,
special,Blunderbuss(Suction),7-36,54,None,None,
special,Blunderbuss(CannonballReshoot),-,-,None,None,
special,Blunderbuss(ThrowForward),-,-,None,None,
special,Blunderbuss(ThrowBackward),-,-,None,None,
special,Blunderbuss(ThrowUp),-,-,None,None,
special,Crownerang(Windbox),18-23,64,None,None,
special,Crownerang(Forward),27-64,-,None,None,
special,Crownerang(Return),65-,-,None,None,
special,Crownerang(Catch),-,18,None,None,
special,Crownerang(PickUp),-,28,None,None,
special,Propellerpack,11-108,-,None,None,
special,GutCheck(Counter/Reflector),Counters/Reflects:5-28/Intangible:4-15,68,None,None,
special,GutCheck(Attack),2-5,47,None,None,
special,GutCheck(Attack/Reverse),9-12,53,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
