Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,2,28,None,None,
ground,Jab2,2-3,30,None,None,
ground,DashAttack(Hit1),6-9,38,None,None,
ground,DashAttack(Hit2),17-19,-,None,None,
ground,Ftilt(Early),7,37,None,None,
ground,Ftilt,8-9,-,None,None,
ground,Ftilt(Late),10-15,-,None,None,
ground,Utilt,9-13,38,None,None,
ground,Dtilt,8-9,24,None,None,
ground,Fsmash(AngledUp),15-17,46,None,None,
ground,Fsmash,15-17,46,None,None,
ground,Fsmash(AngledDown),15-17,46,None,None,
ground,Usmash,14-16(HeadandArmIntangible:14-20),45,None,None,
ground,Usmash(Late),17-20,-,None,None,
ground,Dsmash(Hits1-6),6-7/10-11/14-15/18-19/22-23/26-27,55,None,None,
ground,Dsmash(Hit7),30-31,-,None,None,
ground,StandingGrab,6-7,37,None,None,
ground,DashGrab,9-10,45,None,None,
ground,PivotGrab,10-11,40,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,5-8,49,7,,
aerial,Nair(Late),9-19,-,-,-,
aerial,Fair,16-20,58,13,,
aerial,Bair,6-7,54,11,,
aerial,Bair(Late),8-13,-,-,-,
aerial,Uair(Hit1/Early),10,46,7,,
aerial,Uair(Hit1),11,-,-,-,
aerial,Uair(Hit1/Late),12-13,-,-,-,
aerial,Uair(Hit2/Early),15,-,-,-,
aerial,Uair(Hit2),16-19,-,-,-,
aerial,Dair(Hits1-3),12-13/18-19/24-25,39,8,,
aerial,Dair(Hit4),30-31,-,-,-,
special,Toad,Counters:8-34(Intangible:8-10),63,None,None,
special,Toad(Attack),,,None,None,
special,PeachBomber,InertDetector:13-27,63,None,None,
special,PeachBomber,InertDetector:13-36,88,None,None,
special,PeachBomber(Hitbox),1-2,20,None,None,
special,PeachParasol,,,None,None,
special,Vegetable,ItemGenerated:1,37,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
