Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,4-5,24,None,None,
ground,Jab2,5-6,27,None,None,
ground,Jab3,4-5,36,None,None,
ground,RapidJab,-,-,None,None,
ground,RapidJabFinisher,4-5,46,None,None,
ground,DashAttack,12-13,40,None,None,
ground,Ftilt,10-11,33,None,None,
ground,Utilt,8-12,30,None,None,
ground,Dtilt,9-11,31,None,None,
ground,Fsmash,18-21,54,None,None,
ground,Usmash,12-16,48,None,None,
ground,Dsmash,24-27,58,None,None,
ground,StandingGrab,8-10,35,None,None,
ground,DashGrab,11-13,43,None,None,
ground,PivotGrab,12-14,40,None,None,
ground,Spotdodge,3-18,29,None,None,
ground,ForwardRoll,4-16,33,None,None,
ground,BackRoll,5-17,38,None,None,
ground,Airdodge,3-31,47,None,None,
ground,DirectionalAirdodge(F/B),3-22,79,None,None,
ground,DirectionalAirdodge(U),3-22,104,None,None,
ground,DirectionalAirdodge(D),3-22,65,None,None,
aerial,Nair,8-14,40,12,1-2/28>,
aerial,Nair(Late),15-20,-,-,-,
aerial,Fair(Hit1),10-11,42,16,1-2/43>,
aerial,Fair(Hit2),13-14,-,-,-,
aerial,Fair(Hit3),16-17,-,-,-,
aerial,Bair,10-12,44,17,38>,
aerial,Uair,11-13,40,14,1-3/35>,
aerial,Dair,11-18,56,32,1-3/50>,
aerial,Dair(Late),19-40,-,-,-,
special,PlasmaBreath(NoCharge),29-58,56,None,None,
special,PlasmaBreath(NoCharge/Late),59-78,-,None,None,
special,PlasmaBreath(FullCharge),56-85/64-93/72-101/80-109/88-117,105,None,None,
special,PlasmaBreath(FullCharge/Late),86-105/94-113/102-121/110-129/118-137,-,None,None,
special,SpacePirateRush(Grounded),22-34,79,None,None,
special,SpacePirateRush(Aerial),22-34,61,None,None,
special,SpacePirateRush(Drag/Hit1),-,-,None,None,
special,SpacePirateRush(Drag/Hit2-),-,-,None,None,
special,SpacePirateRush(LedgeRelease),-,-,None,None,
special,SpacePirateRush(WallRelease),-,-,None,None,
special,SpacePirateRush(JumpRelease),-,-,None,None,
special,SpacePirateRush(AerialJumpRelease),-,-,None,None,
special,WingBlitz(Forward),39-58,-,None,None,
special,WingBlitz(Back),39-58,-,None,None,
special,WingBlitz(Up),37-60,-,None,None,
special,WingBlitz(Down),40-62,-,None,None,
special,WingBlitz(Landing),1-2,36,None,None,
special,Skewer,30-31,68,None,None,
special,Skewer(40%Hitbox/OnHit),30,127,None,None,
special,Skewer(OnHit),65,-,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
