Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,5,26,None,None,
ground,Jab2,5,34,None,None,
ground,Jab3,6-7,45,None,None,
ground,Jab3(Late),8,-,None,None,
ground,DashAttack,12-13,41,None,None,
ground,Ftilt,12-13,44,None,None,
ground,Utilt,11-12,40,None,None,
ground,Utilt(Late),13-23,-,None,None,
ground,Dtilt,10-11,32,None,None,
ground,Fsmash(Hit1/AngledUp),14-16,68,None,None,
ground,Fsmash(Hit2/AngledUp),23,-,None,None,
ground,Fsmash(Hit1),14-15,-,None,None,
ground,Fsmash(Hit2),23,-,None,None,
ground,Fsmash(Hit1/AngledDown),14-16,-,None,None,
ground,Fsmash(Hit2/AngledDown),23,-,None,None,
ground,Usmash(Hit1),18-21,68,None,None,
ground,Usmash(Hit1/Late),22-29,-,None,None,
ground,Usmash(Hit2),30-33,-,None,None,
ground,Dsmash(Hit1),18-19,83,None,None,
ground,Dsmash(Hit2),23-24,-,None,None,
ground,Dsmash(Hit3),28-29,-,None,None,
ground,Dsmash(Hit4),35-36,-,None,None,
ground,Dsmash(Hit5),41-42,-,None,None,
ground,StandingGrab,7-8,37,None,None,
ground,DashGrab,10-11,45,None,None,
ground,PivotGrab,11-12,40,None,None,
ground,Spotdodge,3-17,25,None,None,
ground,ForwardRoll,4-15,30,None,None,
ground,BackRoll,5-16,35,None,None,
ground,Airdodge,3-30,50,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair,13-30,60,6,,
aerial,Fair,14-18,42,10,,
aerial,Bair,19-21,55,11,,
aerial,Bair(Late),22-23,-,-,-,
aerial,Uair(Hit1),14-16,55,9,,
aerial,Uair(Hit2),24-26,-,-,-,
aerial,Dair(Hit1),14-15,61,14,,
aerial,Dair(Hit2),23-25,-,-,-,
special,MonadoArts,Intangible:1-14,10,None,None,
special,BackSlash,22-23,-,None,None,
special,BackSlash(Back),22-23,-,None,None,
special,BackSlash(Falling),24-,-,None,None,
special,BackSlash(Falling/Back),24-,-,None,None,
special,BackSlash(Landing),1,41,None,None,
special,BackSlash(Landing/Back),1,-,None,None,
special,AirSlash(Hit1/Early),10-11,-,None,None,
special,AirSlash(Hit1),12-14,-,None,None,
special,AirSlash(Hit1/Late),15-17,-,None,None,
special,AirSlash(Hit2),9-10,,None,None,
special,Vision(Grounded),7-41,70,None,None,
special,Vision(Aerial),7-41,70,None,None,
special,Vision(Grounded/Attack),45-47,88,None,None,
special,Vision(Aerial/Attack),40-42,83,None,None,
special,Vision(ForwardAttack),29-30,65,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
