Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,3-4,16,None,None,
ground,Jab2,4-5,25,None,None,
ground,Jab3,8-9,47,None,None,
ground,DashAttack,5-8(HeadandArmsIntangible:5-12),42,None,None,
ground,DashAttack(Late),9-12,-,None,None,
ground,Ftilt1,4-5,32,None,None,
ground,Ftilt2,8,40,None,None,
ground,Utilt,6-7,38,None,None,
ground,Utilt(Late),8-13,-,None,None,
ground,Dtilt,6-7,31,None,None,
ground,Fsmash,41-43,74,None,None,
ground,Usmash(Launcher),11-12,51,None,None,
ground,Usmash(Projectile),36-,-,None,None,
ground,Dsmash(Hit1),8-10,45,None,None,
ground,Dsmash(Hit2),20-22,-,None,None,
ground,StandingGrab,8-9,35,None,None,
ground,DashGrab,11-12,43,None,None,
ground,PivotGrab,9-10,38,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge,,,None,None,
aerial,Nair(Hits1-3),10-11/18-19/26-27,60,16,,
aerial,Nair(Hit4),36-38,-,-,-,
aerial,Fair,23-26,70,19,,
aerial,Bair,7-9,43,19,,
aerial,Bair(Late),10-26,-,-,-,
aerial,Uair,10-12,48,15,,
aerial,Uair(Late),13-23,-,-,-,
aerial,Dair(Hit1),3-4,60,20,,
aerial,Dair(Hits2-3),10-11/17-18,-,-,-,
aerial,Dair(Hit4),25-26,-,-,-,
special,HandGrenade(Generation),Generated:1,22,None,None,
special,HandGrenade(ThrowForward),Thrown:10,32,None,None,
special,HandGrenade(Throw),Thrown:8,28,None,None,
special,HandGrenade(ThrowBackward),Thrown:9,26,None,None,
special,HandGrenade(Explosion),FromGeneration:150-151,-,None,None,
special,RemoteMissile,41-,35fEndlag,None,None,
special,Cypher,DamageBasedArmor(8%):7-94,,None,None,
special,C4(Plant),9(AutomaticDetonation:1600frames),25,None,None,
special,C4(Detonation),25-27,33,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
