Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
ground,Jab1,8-9,30,None,None,
ground,Jab2,4-5,34,None,None,
ground,DashAttack,5-8,49,None,None,
ground,DashAttack(Late),9-23,-,None,None,
ground,Ftilt(AllAngles),12-15,40,None,None,
ground,Utilt,8-10,28,None,None,
ground,Utilt(Late),11-19,-,None,None,
ground,Dtilt,5,18,None,None,
ground,Fsmash,18-19,66,None,None,
ground,Usmash,11-12,58,None,None,
ground,Usmash(Late),13,-,None,None,
ground,Dsmash,Adv:-Jesus,62,None,None,
ground,StandingGrab,8-10,36,None,None,
ground,DashGrab,11-13,44,None,None,
ground,PivotGrab,12-14,39,None,None,
ground,Spotdodge,,,None,None,
ground,ForwardRoll,,,None,None,
ground,BackRoll,,,None,None,
ground,Airdodge,,,None,None,
ground,DirectionalAirdodge(F/B),,,None,None,
ground,DirectionalAirdodge(U),,,None,None,
ground,DirectionalAirdodge(D),,,None,None,
aerial,Nair(Hit1),4-17,46,7,1-3/43>,
aerial,Nair(Hit2),20-42,-,-,-,
aerial,Fair,5-6,38,10,1-4/27>,
aerial,Fair(Late),7-17,-,-,-,
aerial,Bair,9-11,50,16,1-4/34>,
aerial,Uair,8-9,47,7,1-3/37>,
aerial,Dair(Hits1-6),9/11/13/12/17/19,48,18,1-2/42>,
aerial,Dair(Hit7),21,-,-,-,
special,Chomp(Shortest),8-16,42,None,None,
special,Chomp(Longest),8-64,90,None,None,
special,Chomp(EatingExplosive),17,72,None,None,
special,Chomp(Food),1.5xRecovery,51,None,None,
special,Chomp(LargeObjects),-,56,None,None,
special,Chomp(Throw),-,-,None,None,
special,WarioBike(Bike),KBBasedArmor:20/HP:18%,-,None,None,
special,WarioBike(zoom),20-,,None,None,
special,WarioBike(Turn),-,-,None,None,
special,WarioBike(Turn/Late),-,-,None,None,
special,WarioBike(Wheelie),-,-,None,None,
special,WarioBike(WheelieSlam),-,-,None,None,
special,WahTwist(Hit1),6-7,-,None,None,
special,WahTwist(Hits2-5),8-11/12-15/16-19/20-23,-,None,None,
special,WahTwist(Hit6),29-30,-,None,None,
special,WarioWaft(NoCharge),16-18,80,None,None,
special,WarioWaft(15Seconds),10-11,65,None,None,
special,WarioWaft(55Seconds),5-8,50,None,None,
special,WarioWaft(110Seconds),9-10,60,None,None,
special,WarioWaft(110Seconds/Late),11-26,-,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
